acc	id	pI	weight
LPIN1_HUMAN_1	Q14693	6.14	98664.15
LPIN2_HUMAN_1	Q92539	5.18	99399.32
LPP_HUMAN_1	Q93052	7.18	65746.33
LPXN_HUMAN_1	O60711	5.62	43332.03
LRBA_HUMAN_1	P50851	5.39	318976.70
LRCH1_HUMAN_1	Q9Y2L9	5.59	80875.21
LRCH3_HUMAN_1	Q96II8	6.32	84163.18
LRCH4_HUMAN_1	O75427	8.55	73450.30
A2GL_HUMAN_1	P02750	5.66	34346.41
LRIF1_HUMAN_1	Q5T3J3	9.72	84568.09
LRIG1_HUMAN_1	Q96JA1	6.44	115420.66
LRP1_HUMAN_1	Q07954	5.16	502664.79
LRP1_HUMAN_2	Q07954	5.04	436898.09
LRP1_HUMAN_3	Q07954	6.81	65784.71
LRP1_HUMAN_4	Q07954	5.04	11488.74
AMRP_HUMAN_1	P30533	6.88	37771.46
LPPRC_HUMAN_1	P42704	5.53	151839.79
LRRC1_HUMAN_1	Q9BTT6	4.94	59241.76
LRC14_HUMAN_1	Q15048	6.43	54513.28
LRC15_HUMAN_1	Q8TF66	6.11	62129.43
CARL1_HUMAN_1	Q5VZK9	8.02	151556.80
LRC20_HUMAN_1	Q8TCA0	6.11	20508.92
LRC40_HUMAN_1	Q9H9A6	6.04	68249.93
LRC41_HUMAN_1	Q15345	8.75	88649.53
LRC47_HUMAN_1	Q8N1G4	8.56	63341.75
LRC57_HUMAN_1	Q8N9N7	8.71	26622.99
LRC59_HUMAN_1	Q96AG4	9.61	34930.46
LRC8D_HUMAN_1	Q7L1W4	7.76	98201.40
LRRF1_HUMAN_1	Q32MZ4	4.59	89121.83
LRRF2_HUMAN_1	Q9Y608	6.50	82171.44
LRSM1_HUMAN_1	Q6UWE0	5.70	83593.86
LRWD1_HUMAN_1	Q9UFC0	6.88	70861.18
LSG1_HUMAN_1	Q9H089	5.96	75225.38
LSM1_HUMAN_1	O15116	5.11	15179.43
LSM12_HUMAN_1	Q3MHD2	7.81	21569.56
LS14A_HUMAN_1	Q8ND56	9.55	50398.64
LS14B_HUMAN_1	Q9BX40	9.69	41939.54
LSM2_HUMAN_1	Q9Y333	6.05	10834.52
LSM3_HUMAN_1	P62310	4.58	11714.22
LSM4_HUMAN_1	Q9Y4Z0	10.02	15349.71
LSM5_HUMAN_1	Q9Y4Y9	4.42	9806.30
LSM6_HUMAN_1	P62312	9.61	9127.57
LSM7_HUMAN_1	Q9UK45	5.11	11471.18
LSP1_HUMAN_1	P33241	4.69	37191.59
LSR_HUMAN_1	Q86X29	8.29	71438.88
ERG7_HUMAN_1	P48449	6.15	83177.55
LKHA4_HUMAN_1	P09960	5.80	69154.08
LTBP1_HUMAN_1	Q14766	5.59	184376.23
LTBP2_HUMAN_1	Q14767	4.95	191196.92
LTBP3_HUMAN_1	Q9NS15	5.68	135270.36
LTBP4_HUMAN_1	Q8N2S1	5.21	170633.75
TRFL_HUMAN_1	P02788	8.47	76165.29
TRFL_HUMAN_2	P02788	10.83	5587.53
TRFL_HUMAN_3	P02788	7.88	3192.65
TRFL_HUMAN_4	P02788	5.52	658.71
TRFL_HUMAN_5	P02788	8.50	720.78
TRFL_HUMAN_6	P02788	8.50	868.00
LTN1_HUMAN_1	O94822	5.89	200552.01
LTV1_HUMAN_1	Q96GA3	4.80	54854.93
LUC7L_HUMAN_1	Q9NQ29	9.95	43727.97
LC7L3_HUMAN_1	O95232	9.81	51466.15
LUM_HUMAN_1	P51884	6.17	36660.91
LUZP1_HUMAN_1	Q86V48	8.67	120143.69
LXN_HUMAN_1	Q9BS40	5.52	25750.18
LY6E_HUMAN_1	Q16553	6.67	8480.82
LY75_HUMAN_1	O60449	6.19	195135.51
LYAR_HUMAN_1	Q9NX58	9.57	43614.80
LYN_HUMAN_1	P07948	6.76	58442.89
LYPA1_HUMAN_1	O75608	6.28	24669.58
LYPA2_HUMAN_1	O95372	6.74	24736.95
LYPL1_HUMAN_1	Q5VWZ2	7.86	26185.23
LYRM1_HUMAN_1	O43325	9.95	14281.65
LYRM4_HUMAN_1	Q9HD34	10.73	10758.44
LYRM5_HUMAN_1	Q6IPR1	9.92	10863.84
LYRM7_HUMAN_1	Q5U5X0	9.67	11954.88
LYSM2_HUMAN_1	Q8IV50	5.27	23331.98
LYSC_HUMAN_1	P61626	9.28	14700.67
LZIC_HUMAN_1	Q8WZA0	4.88	21494.52
LZTL1_HUMAN_1	Q9NQ48	5.29	34592.22
LZTS2_HUMAN_1	Q9BRK4	6.13	72759.39
MPRD_HUMAN_1	P20645	5.43	27910.56
MACC1_HUMAN_1	Q6ZN28	6.43	96639.16
MACF1_HUMAN_1	Q9UPN3	5.28	838307.64
MACD1_HUMAN_1	Q9BQ69	9.58	35505.11
MD1L1_HUMAN_1	Q9Y6D9	5.72	83066.85
MD2L1_HUMAN_1	Q13257	5.00	23378.76
MADD_HUMAN_1	Q8WXG6	5.72	183172.04
MAEA_HUMAN_1	Q7L5Y9	8.95	45287.29
MAF1_HUMAN_1	Q9H063	4.47	28770.80
MAGA4_HUMAN_1	P43358	4.68	34899.20
MAGD1_HUMAN_1	Q9Y5V3	5.63	86160.92
MAGD2_HUMAN_1	Q9UNF1	9.35	64823.06
MAGI1_HUMAN_1	Q96QZ7	7.30	164581.02
MGN2_HUMAN_1	Q96A72	5.97	17144.60
MAGT1_HUMAN_1	Q9H0U3	9.73	34871.78
MAK16_HUMAN_1	Q9BXY0	5.27	35368.61
MASU1_HUMAN_1	Q96EH3	5.30	26170.05
MALT1_HUMAN_1	Q9UDY8	5.47	92141.23
MA1A1_HUMAN_1	P33908	6.03	72968.53
MA1A2_HUMAN_1	O60476	7.15	72872.37
MA1B1_HUMAN_1	Q9UKM7	7.38	79579.82
MA2A1_HUMAN_1	Q16706	7.24	131140.57
MA2B1_HUMAN_1	O00754	6.48	108713.08
MA2B1_HUMAN_2	O00754	5.57	34256.65
MA2B1_HUMAN_3	O00754	7.00	9577.78
MA2B1_HUMAN_4	O00754	9.50	18885.56
MA2B1_HUMAN_5	O00754	6.17	31574.66
MA2B1_HUMAN_6	O00754	6.33	14490.49
MA2B2_HUMAN_1	Q9Y2E5	6.68	111480.88
MA2C1_HUMAN_1	Q9NTJ4	6.10	115835.25
MANBA_HUMAN_1	O00462	5.26	99116.93
MANBL_HUMAN_1	Q9NQG1	9.21	9467.10
MANF_HUMAN_1	P55145	8.55	18162.06
AOFA_HUMAN_1	P21397	7.94	59681.66
AOFB_HUMAN_1	P27338	7.18	58631.69
MAP1A_HUMAN_1	P78559	4.85	305485.17
MAP1A_HUMAN_2	P78559	4.77	279782.29
MAP1A_HUMAN_3	P78559	9.30	25720.90
MAP1B_HUMAN_1	P46821	4.73	270503.23
MAP1B_HUMAN_2	P46821	4.63	242216.21
MAP1B_HUMAN_3	P46821	9.30	28305.04
MAP1S_HUMAN_1	Q66K74	6.93	112211.47
MAP1S_HUMAN_2	Q66K74	6.05	87560.46
MAP1S_HUMAN_3	Q66K74	9.60	24669.03
MTAP2_HUMAN_1	P11137	4.82	199526.33
MP2K1_HUMAN_1	Q02750	6.20	43307.82
MP2K2_HUMAN_1	P36507	6.12	44424.13
MP2K3_HUMAN_1	P46734	7.05	39318.39
MP2K4_HUMAN_1	P45985	8.31	44156.54
MP2K6_HUMAN_1	P52564	7.00	37492.35
MP2K7_HUMAN_1	O14733	9.26	47353.70
M3K2_HUMAN_1	Q9Y2U5	8.04	69740.87
M3K4_HUMAN_1	Q9Y6R4	5.93	181684.74
M3K5_HUMAN_1	Q99683	5.52	154536.92
M3K7_HUMAN_1	O43318	6.69	67196.06
MAP4_HUMAN_1	P27816	5.32	120873.79
M4K2_HUMAN_1	Q12851	5.91	91555.95
M4K4_HUMAN_1	O95819	7.14	141969.60
M4K5_HUMAN_1	Q9Y4K4	7.56	95039.88
MAP7_HUMAN_1	Q14244	9.62	83920.58
MA7D1_HUMAN_1	Q3KQU3	10.12	92819.91
MK01_HUMAN_1	P28482	6.53	41258.52
MK13_HUMAN_1	O15264	8.48	42089.59
MK14_HUMAN_1	Q16539	5.48	41162.10
MK03_HUMAN_1	P27361	6.30	43004.38
MK07_HUMAN_1	Q13164	5.60	88255.28
MK08_HUMAN_1	P45983	6.43	48295.56
MK09_HUMAN_1	P45984	5.41	48139.06
SIN1_HUMAN_1	Q9BPZ7	7.35	58991.64
MAPK2_HUMAN_1	P49137	8.87	45567.78
MAPK3_HUMAN_1	Q16644	6.87	42986.99
MARE1_HUMAN_1	Q15691	5.02	29867.89
MARE2_HUMAN_1	Q15555	5.36	37031.32
MARE3_HUMAN_1	Q9UPY8	5.34	31851.01
MARC1_HUMAN_1	Q5VT66	9.12	37368.19
MARC2_HUMAN_1	Q969Z3	9.11	34553.23
MARH5_HUMAN_1	Q9NX47	9.00	31231.68
MARCS_HUMAN_1	P29966	4.46	31423.47
MRP_HUMAN_1	P49006	4.65	19397.60
MARK2_HUMAN_1	Q7KZI7	9.73	87910.75
MARK3_HUMAN_1	P27448	9.59	84488.60
SYMC_HUMAN_1	P56192	5.82	101115.79
SYMM_HUMAN_1	Q96GW9	7.86	63267.02
GWL_HUMAN_1	Q96GX5	5.67	97319.01
METK2_HUMAN_1	P31153	6.02	43660.68
MAT2B_HUMAN_1	Q9NZL9	6.96	37420.61
MATN2_HUMAN_1	O00339	5.90	104380.83
MATR3_HUMAN_1	P43243	5.87	94492.05
SCC4_HUMAN_1	Q9Y6X3	6.84	69081.84
MAVS_HUMAN_1	Q7Z434	5.36	56528.10
MAX_HUMAN_1	P61244	5.88	18143.64
MAZ_HUMAN_1	P56270	9.21	48607.67
MYG_HUMAN_1	P02144	7.29	17052.61
CGAS_HUMAN_1	Q8N884	9.54	58814.48
M21D2_HUMAN_1	Q8IYB1	6.58	55800.15
MBD1_HUMAN_1	Q9UIS9	9.32	66607.14
MBD2_HUMAN_1	Q9UBB5	10.06	43254.52
MBD3_HUMAN_1	O95983	5.22	32844.10
MBIP1_HUMAN_1	Q9NS73	6.78	39281.47
MBLC2_HUMAN_1	Q68D91	6.41	31240.32
MBNL1_HUMAN_1	Q9NR56	9.16	41817.21
MBOA1_HUMAN_1	Q6ZNC8	9.33	56557.39
MBOA2_HUMAN_1	Q6ZWT7	8.30	59526.80
MBOA7_HUMAN_1	Q96N66	9.16	52764.96
MBP_HUMAN_1	P02686	9.79	33117.10
MUC18_HUMAN_1	P43121	5.46	69257.41
FABD_HUMAN_1	Q8IVS2	8.15	40631.74
MCCA_HUMAN_1	Q96RQ3	6.53	75658.29
MCCB_HUMAN_1	Q9HCC0	6.47	58987.34
MCEE_HUMAN_1	Q96PE7	8.00	15057.58
MCFD2_HUMAN_1	Q8NI22	4.31	13524.79
MCL1_HUMAN_1	Q07820	5.51	37337.36
MCM2_HUMAN_1	P49736	5.34	101764.90
MCM3_HUMAN_1	P25205	5.53	90849.60
GANP_HUMAN_1	O60318	5.99	218404.65
MCM4_HUMAN_1	P33991	6.28	96426.74
MCM5_HUMAN_1	P33992	8.64	82154.32
MCM6_HUMAN_1	Q14566	5.28	92889.28
MCM7_HUMAN_1	P33993	6.09	81176.75
MCMBP_HUMAN_1	Q9BTE3	5.56	72980.15
MCRS1_HUMAN_1	Q96EZ8	9.41	51803.32
MCTS1_HUMAN_1	Q9ULC4	8.98	20555.28
MCU_HUMAN_1	Q8NE86	7.16	35027.34
MDC1_HUMAN_1	Q14676	5.35	226666.19
MDHC_HUMAN_1	P40925	6.89	36294.93
MDHM_HUMAN_1	P40926	8.54	33000.45
MK_HUMAN_1	P21741	9.78	13420.51
MDN1_HUMAN_1	Q9NU22	5.46	632819.81
MAOX_HUMAN_1	P48163	5.79	64149.63
MAOM_HUMAN_1	P23368	6.58	63414.13
MAON_HUMAN_1	Q16798	UNDEFINED	0.00
EAF6_HUMAN_1	Q9HAF1	9.32	21503.70
MECP2_HUMAN_1	P51608	9.95	52440.64
MECR_HUMAN_1	Q9BV79	8.45	34702.22
MED1_HUMAN_1	Q15648	8.88	168478.02
MED10_HUMAN_1	Q9BTT4	5.82	15687.97
MED11_HUMAN_1	Q9P086	5.72	12997.65
MED12_HUMAN_1	Q93074	6.63	243081.46
MED14_HUMAN_1	O60244	8.97	160606.52
MED15_HUMAN_1	Q96RN5	9.49	86753.47
MED16_HUMAN_1	Q9Y2X0	7.12	96793.15
MED17_HUMAN_1	Q9NVC6	7.05	72890.16
MED18_HUMAN_1	Q9BUE0	6.06	23662.67
MED19_HUMAN_1	A0JLT2	9.83	26273.04
MED20_HUMAN_1	Q9H944	6.42	23221.78
MED21_HUMAN_1	Q13503	4.29	15564.32
MED22_HUMAN_1	Q15528	4.56	22220.74
MED23_HUMAN_1	Q9ULK4	7.09	156474.01
MED24_HUMAN_1	O75448	6.51	110305.27
MED27_HUMAN_1	Q6P2C8	9.37	35431.76
MED28_HUMAN_1	Q9H204	5.39	19520.17
MED29_HUMAN_1	Q9NX70	5.88	20941.68
MED30_HUMAN_1	Q96HR3	8.44	20146.04
MED4_HUMAN_1	Q9NPJ6	5.01	29614.23
MED6_HUMAN_1	O75586	8.71	28424.62
MED8_HUMAN_1	Q96G25	6.92	29079.94
MED9_HUMAN_1	Q9NWA0	7.06	16271.59
MEF2D_HUMAN_1	Q14814	7.73	55937.82
MEGF6_HUMAN_1	O75095	5.94	158155.47
MEIS1_HUMAN_1	O00470	5.86	43016.06
MEMO1_HUMAN_1	Q9Y316	6.66	33733.15
MEN1_HUMAN_1	O00255	6.14	68023.39
MEPCE_HUMAN_1	Q7L2J0	9.62	74355.24
MESD_HUMAN_1	Q14696	6.10	22631.34
MEST_HUMAN_1	Q5EB52	9.75	38830.08
MAP11_HUMAN_1	P53582	6.80	43083.99
MAP2_HUMAN_1	P50579	5.57	52760.38
TRMB_HUMAN_1	Q9UBP6	7.35	31339.83
MET13_HUMAN_1	Q8N6R0	6.29	78767.86
MET14_HUMAN_1	Q9HCE5	5.89	52150.45
MET15_HUMAN_1	A6NJ78	8.80	46121.02
MET16_HUMAN_1	Q86W50	8.08	63621.03
MTA70_HUMAN_1	Q86U44	5.98	64342.75
MET7A_HUMAN_1	Q9H8H3	8.72	24848.82
MET7B_HUMAN_1	Q6UX53	8.85	25209.45
MEX3A_HUMAN_1	A1L020	7.02	54173.27
MFAP1_HUMAN_1	P55081	4.95	51827.25
MFAP2_HUMAN_1	P55001	4.77	18963.19
MFAP4_HUMAN_1	P55083	5.21	26462.44
MFAP5_HUMAN_1	Q13361	5.64	17293.68
MFF_HUMAN_1	Q9GZY8	9.01	38464.55
MFGM_HUMAN_1	Q08431	8.22	40791.02
MFGM_HUMAN_2	Q08431	8.98	20907.54
MFGM_HUMAN_3	Q08431	6.16	5430.98
TRFM_HUMAN_1	P08582	5.45	75512.75
MFN1_HUMAN_1	Q8IWA4	5.87	84100.44
MFN2_HUMAN_1	O95140	6.52	86402.06
MFS10_HUMAN_1	Q14728	9.68	48339.15
MFSD6_HUMAN_1	Q6ZSS7	5.35	87956.75
MGAP_HUMAN_1	Q8IWI9	6.35	331836.42
MGAT1_HUMAN_1	P26572	9.25	50878.36
MGAT2_HUMAN_1	Q10469	8.99	51550.27
MGT5A_HUMAN_1	Q09328	8.41	84542.63
OGA_HUMAN_1	O60502	4.82	102915.12
MGLL_HUMAN_1	Q99685	6.49	33261.42
MGMT_HUMAN_1	P16455	8.28	21645.97
MGP_HUMAN_1	P08493	8.66	9531.58
MGRN1_HUMAN_1	O60291	4.99	60621.79
MGST1_HUMAN_1	P10620	9.41	17467.47
MGST2_HUMAN_1	Q99735	9.60	16620.59
MGST3_HUMAN_1	O14880	9.46	16516.30
MIA3_HUMAN_1	Q5JRA6	4.75	211291.30
MIB1_HUMAN_1	Q86YT6	6.47	110135.86
MICA1_HUMAN_1	Q8TDZ2	6.00	117874.76
MICA2_HUMAN_1	O94851	8.90	126689.02
MICA3_HUMAN_1	Q7RTP6	5.43	224294.83
MILK1_HUMAN_1	Q8N3F8	6.87	93441.13
MILK2_HUMAN_1	Q8IY33	9.63	97502.24
MICU1_HUMAN_1	Q9BPX6	8.61	54351.29
TRI18_HUMAN_1	O15344	6.35	75250.69
MIEN1_HUMAN_1	Q9BRT3	4.40	11946.31
MIER1_HUMAN_1	Q8N108	4.33	57983.25
MI4GD_HUMAN_1	A9UHW6	5.21	25423.23
MINA_HUMAN_1	Q8IUF8	6.23	52800.28
MINK1_HUMAN_1	Q8N4C8	7.85	149821.54
MINP1_HUMAN_1	Q9UNW1	6.86	52100.58
MIO_HUMAN_1	Q9NXC5	6.29	98584.43
MIPEP_HUMAN_1	Q99797	6.03	77071.47
MIS12_HUMAN_1	Q9H081	5.50	24139.92
KI67_HUMAN_1	P46013	9.49	358693.67
MKL2_HUMAN_1	Q9ULH7	5.89	118127.13
MKLN1_HUMAN_1	Q9UL63	5.92	84636.61
MKNK1_HUMAN_1	Q9BUB5	6.26	51342.41
MKRN2_HUMAN_1	Q9H000	7.73	46940.25
MLEC_HUMAN_1	Q14165	5.17	29323.23
MLF2_HUMAN_1	Q15773	6.40	28147.33
MLH1_HUMAN_1	P40692	5.51	84469.78
MLKL_HUMAN_1	Q8NB16	9.00	54479.06
ENL_HUMAN_1	Q03111	8.75	62056.12
AFAD_HUMAN_1	P55196	6.06	206804.23
LST8_HUMAN_1	Q9BVC4	5.50	35876.16
DCMC_HUMAN_1	O95822	8.36	50945.58
MMAA_HUMAN_1	Q8IVH4	9.12	39091.34
MMAB_HUMAN_1	Q96EY8	7.02	24037.20
NEP_HUMAN_1	P08473	5.54	85382.74
MMGT1_HUMAN_1	Q8N4V1	9.20	14685.79
MMP11_HUMAN_1	P24347	5.53	44255.89
MMP14_HUMAN_1	P50281	5.76	53855.94
MMP2_HUMAN_1	P08253	5.02	62059.41
MMP2_HUMAN_2	P08253	5.96	24389.88
MMP7_HUMAN_1	P09237	8.77	19130.47
MMP9_HUMAN_1	P14780	10.26	1457.73
MMP9_HUMAN_2	P14780	5.44	66609.35
MMRN1_HUMAN_1	Q13201	7.92	136135.75
MMRN1_HUMAN_2	Q13201	7.57	119045.70
MMRN1_HUMAN_3	Q13201	6.55	104246.29
MMRN2_HUMAN_1	Q9H8L6	5.56	102153.79
MMS19_HUMAN_1	Q96T76	5.92	113158.37
MAT1_HUMAN_1	P51948	5.79	35822.95
MNDA_HUMAN_1	P41218	9.76	45836.09
MOB1A_HUMAN_1	Q9H8S9	6.44	24948.57
MOB2_HUMAN_1	Q70IA6	6.30	26926.58
MOB3A_HUMAN_1	Q96BX8	8.81	25464.32
MOCS3_HUMAN_1	O95396	5.85	49669.29
MOGS_HUMAN_1	Q13724	8.97	91917.62
MON2_HUMAN_1	Q7Z3U7	5.72	190227.78
MORC2_HUMAN_1	Q9Y6X9	8.60	117691.97
MORC3_HUMAN_1	Q14149	5.42	107112.89
MO4L1_HUMAN_1	Q9UBU8	9.29	41473.53
MO4L2_HUMAN_1	Q15014	9.72	32307.86
MSPD2_HUMAN_1	Q8NHP6	5.70	59746.18
MOV10_HUMAN_1	Q9HCE1	9.00	113671.29
MPU1_HUMAN_1	O75352	9.13	26506.64
MPDZ_HUMAN_1	O75970	4.95	221617.80
3MG_HUMAN_1	P29372	9.31	30824.08
MPP10_HUMAN_1	O00566	4.77	78863.78
MPH6_HUMAN_1	Q99547	5.14	19023.71
MPP8_HUMAN_1	Q99549	5.81	97182.24
MPI_HUMAN_1	P34949	5.63	46524.70
PERM_HUMAN_1	P05164	9.31	78938.62
PERM_HUMAN_2	P05164	9.11	67074.87
PERM_HUMAN_3	P05164	9.22	66106.87
PERM_HUMAN_4	P05164	5.77	12881.51
PERM_HUMAN_5	P05164	9.43	53243.37
EM55_HUMAN_1	Q00013	6.88	52165.28
MPP5_HUMAN_1	Q8N3R9	5.77	77293.55
MPP6_HUMAN_1	Q9NZW5	5.82	61117.01
MPP7_HUMAN_1	Q5T2T1	6.65	65523.74
MPRIP_HUMAN_1	Q6WCQ1	5.89	116401.98
THTM_HUMAN_1	P25325	6.14	33047.27
MPV17_HUMAN_1	P39210	9.54	19733.19
MPZL1_HUMAN_1	O95297	8.64	25705.22
MRC1_HUMAN_1	P22897	6.08	164120.12
MRC2_HUMAN_1	Q9UBG0	5.40	163407.43
MRE11_HUMAN_1	P49959	5.61	80462.08
MOFA1_HUMAN_1	Q9Y605	4.69	14649.61
MTNA_HUMAN_1	Q9BV20	5.89	39149.80
RM01_HUMAN_1	Q9BYD6	6.46	31415.24
RM10_HUMAN_1	Q7Z7H8	9.34	26388.01
RM11_HUMAN_1	Q9Y3B7	UNDEFINED	0.00
RM13_HUMAN_1	Q9BYD1	9.18	20560.77
RM14_HUMAN_1	Q6P1L8	10.38	12687.89
RM15_HUMAN_1	Q9P015	9.93	31318.27
RM16_HUMAN_1	Q9NX20	9.96	24596.53
RM17_HUMAN_1	Q9NRX2	9.99	19250.22
RM18_HUMAN_1	Q9H0U6	UNDEFINED	0.00
RM19_HUMAN_1	P49406	UNDEFINED	0.00
RM02_HUMAN_1	Q5T653	11.25	27077.27
RM20_HUMAN_1	Q9BYC9	10.18	11783.87
RM21_HUMAN_1	Q7Z2W9	9.58	18858.11
RM22_HUMAN_1	Q9NWU5	9.88	19428.71
RM23_HUMAN_1	Q16540	9.69	17781.19
RM24_HUMAN_1	Q96A35	9.23	23945.57
RM27_HUMAN_1	Q9P0M9	10.42	16072.81
RM28_HUMAN_1	Q13084	5.22	23513.00
RM03_HUMAN_1	P09001	9.52	38632.61
RM30_HUMAN_1	Q8TCC3	9.96	14689.13
RM32_HUMAN_1	Q9BYC8	UNDEFINED	0.00
RM33_HUMAN_1	O75394	10.81	7619.17
RM34_HUMAN_1	Q9BQ48	UNDEFINED	0.00
RM37_HUMAN_1	Q9BZE1	8.30	45382.33
RM38_HUMAN_1	Q96DV4	6.50	41632.04
RM39_HUMAN_1	Q9NYK5	7.56	38711.78
RM04_HUMAN_1	Q9BYD3	9.73	34919.22
RM40_HUMAN_1	Q9NQ50	9.35	19254.22
RM41_HUMAN_1	Q8IXM3	9.40	14070.06
RM42_HUMAN_1	Q9Y6G3	6.77	13063.70
RM43_HUMAN_1	Q8N983	UNDEFINED	0.00
RM44_HUMAN_1	Q9H9J2	7.01	34375.48
RM45_HUMAN_1	Q9BRJ2	UNDEFINED	0.00
RM46_HUMAN_1	Q9H2W6	UNDEFINED	0.00
RM47_HUMAN_1	Q9HD33	UNDEFINED	0.00
RM48_HUMAN_1	Q96GC5	7.78	20664.87
RM49_HUMAN_1	Q13405	9.47	19198.05
RM50_HUMAN_1	Q8N5N7	7.73	18324.95
RM51_HUMAN_1	Q4U2R6	11.00	11712.83
RM53_HUMAN_1	Q96EL3	UNDEFINED	0.00
RM54_HUMAN_1	Q6P161	9.21	14227.27
RM55_HUMAN_1	Q7Z7F7	10.30	11597.22
RM09_HUMAN_1	Q9BYD2	UNDEFINED	0.00
RT10_HUMAN_1	P82664	7.78	22999.49
RT11_HUMAN_1	P82912	UNDEFINED	0.00
RT12_HUMAN_1	O15235	10.45	12118.28
RT14_HUMAN_1	O60783	11.42	15138.71
RT15_HUMAN_1	P82914	10.14	23527.60
RT16_HUMAN_1	Q9Y3D3	8.73	11516.23
RT17_HUMAN_1	Q9Y2R5	9.58	12337.46
RT18A_HUMAN_1	Q9NVS2	10.07	18779.89
RT18B_HUMAN_1	Q9Y676	UNDEFINED	0.00
RT18C_HUMAN_1	Q9Y3D5	UNDEFINED	0.00
RT02_HUMAN_1	Q9Y399	9.37	33249.19
RT21_HUMAN_1	P82921	10.23	10741.56
RT22_HUMAN_1	P82650	7.70	41280.38
RT23_HUMAN_1	Q9Y3D9	8.95	21639.45
RT24_HUMAN_1	Q96EL2	9.51	15306.72
RT25_HUMAN_1	P82663	8.99	20116.39
RT26_HUMAN_1	Q9BYN8	9.77	21343.21
RT27_HUMAN_1	Q92552	5.83	47611.37
RT28_HUMAN_1	Q9Y2Q9	8.00	13108.97
RT30_HUMAN_1	Q9NP92	8.21	50364.73
RT31_HUMAN_1	Q92665	8.31	38106.11
RT33_HUMAN_1	Q9Y291	10.11	12497.50
RT34_HUMAN_1	P82930	9.98	25519.29
RT35_HUMAN_1	P82673	UNDEFINED	0.00
RT36_HUMAN_1	P82909	9.99	11466.20
RT05_HUMAN_1	P82675	9.93	48006.47
RT06_HUMAN_1	P82932	9.32	14095.37
RT07_HUMAN_1	Q9Y2R9	9.72	24116.23
RT09_HUMAN_1	P82933	UNDEFINED	0.00
RRFM_HUMAN_1	Q96E11	9.54	22855.51
MRT4_HUMAN_1	Q9UKD2	8.34	27560.46
MRVI1_HUMAN_1	Q9Y6F6	5.44	96145.02
MSH2_HUMAN_1	P43246	5.58	104611.88
MSH3_HUMAN_1	P20585	8.20	127411.88
MSH6_HUMAN_1	P52701	6.50	152785.59
MSI1H_HUMAN_1	O43347	7.70	39124.51
MSI2H_HUMAN_1	Q96DH6	8.62	35196.69
MSLN_HUMAN_1	Q13421	5.77	62958.34
MSLN_HUMAN_2	Q13421	5.98	26726.63
MSLN_HUMAN_3	Q13421	5.21	35053.25
MOES_HUMAN_1	P26038	6.09	67688.85
MSRE_HUMAN_1	P21757	5.61	49762.11
MSRA_HUMAN_1	Q9UJ68	6.77	23496.20
MSRB2_HUMAN_1	Q9Y3D2	8.15	17288.41
HGFL_HUMAN_1	P26927	8.01	78413.45
HGFL_HUMAN_2	P26927	7.24	53316.36
HGFL_HUMAN_3	P26927	8.64	25115.11
MSTO1_HUMAN_1	Q9BUK6	5.70	61835.42
MT1E_HUMAN_1	P04732	8.38	6014.15
MT1F_HUMAN_1	P04733	8.23	6086.22
MT1X_HUMAN_1	P80297	8.38	6068.25
MT2_HUMAN_1	P02795	8.23	6042.16
MTA1_HUMAN_1	Q13330	9.34	80786.16
MTA2_HUMAN_1	O94776	9.70	75023.09
MTA3_HUMAN_1	Q9BTC8	8.80	67503.69
MTAP_HUMAN_1	Q13126	6.75	31236.02
MTCH1_HUMAN_1	Q9NZJ7	9.40	41544.26
MTCH2_HUMAN_1	Q9Y6C9	8.28	33199.68
LYRIC_HUMAN_1	Q86UE4	9.33	63836.99
MTG1_HUMAN_1	Q9BT17	UNDEFINED	0.00
C1TC_HUMAN_1	P11586	6.89	101559.22
C1TC_HUMAN_2	P11586	6.94	101428.03
C1TM_HUMAN_1	Q6UB35	6.72	102222.59
MTDC_HUMAN_1	P13995	7.34	34137.57
MTHR_HUMAN_1	P42898	5.22	74596.57
MTHFS_HUMAN_1	P49914	7.90	23124.46
IF2M_HUMAN_1	P46199	6.18	77711.07
IF3M_HUMAN_1	Q9H2K0	9.56	28165.08
MTM1_HUMAN_1	Q13496	8.38	69931.74
MTMR1_HUMAN_1	Q13613	6.69	74677.76
MTMRA_HUMAN_1	Q9NXD2	8.78	88273.12
MTMRC_HUMAN_1	Q9C0I1	6.17	86147.72
MTMRE_HUMAN_1	Q8NCE2	5.85	72203.39
MTMR2_HUMAN_1	Q13614	7.02	73381.22
MTMR3_HUMAN_1	Q13615	5.51	133618.93
MTMR6_HUMAN_1	Q9Y217	7.59	71967.95
MTMR9_HUMAN_1	Q96QG7	5.98	63461.61
MTO1_HUMAN_1	Q9Y2Z2	8.11	76972.38
MTOR_HUMAN_1	P42345	6.73	288891.61
PAPD1_HUMAN_1	Q9NVV4	8.90	62144.76
METH_HUMAN_1	Q99707	5.39	140527.21
MTRR_HUMAN_1	Q9UBK8	6.05	80410.03
MTX1_HUMAN_1	Q13505	9.80	51476.87
MTX2_HUMAN_1	O75431	5.90	29632.00
MTX3_HUMAN_1	Q5HYI7	7.64	35093.38
MUC1_HUMAN_1	P15941	6.96	119671.32
MUC1_HUMAN_2	P15941	7.01	102628.07
MUC1_HUMAN_3	P15941	6.38	17061.27
